ID,Label,Email Text
1,Spam,Congratulations! You've won a $1000 gift card. Click here to claim now.
2,Ham,"Hey, are we still meeting for lunch tomorrow?"
3,Spam,Urgent! Your bank account has been compromised. Verify immediately.
4,Ham,Please find attached the project report for your review.
5,Spam,You have been selected for a free vacation to the Bahamas!
6,Ham,Can you send me the notes from yesterday’s meeting?
7,Spam,Limited time offer! Buy 1 get 3 free on all products.
8,Ham,"Mom called, please call her back when you're free."
9,Spam,Earn money from home with this simple trick!
10,Ham,Your order has been shipped successfully.
11,Spam,Act now! Lowest insurance rates available today.
12,Ham,Let’s catch up this weekend. It’s been a while!
13,Spam,You’ve been pre-approved for a loan. Apply now!
14,Ham,Reminder: Doctor’s appointment scheduled for tomorrow.
15,Spam,Click here to reset your password immediately.
16,Ham,Happy birthday! Hope you have a great day 🎉
17,Spam,"Exclusive deal just for you, don’t miss out!"
18,Ham,Please review the attached invoice and confirm.
19,Spam,Win a brand new iPhone by entering this contest.
20,Ham,Meeting rescheduled to 3 PM today.
21,Spam,Get rich quick with this amazing opportunity!
22,Ham,Can we postpone our call to next week?
23,Spam,Claim your free trial before it expires!
24,Ham,Thanks for your help on the project yesterday.
25,Spam,You are a lucky winner! Claim your prize now.
26,Ham,"Dinner was great yesterday, let’s do it again."
27,Spam,Cheap meds available online without prescription.
28,Ham,Please update the document with the latest changes.
29,Spam,Double your income in just 7 days!
30,Ham,I’ve shared the Google Drive link with you.
31,Spam,Final notice: Pay your bill now to avoid penalty.
32,Ham,Good morning! Hope you have a productive day.
33,Spam,You won’t believe these unbelievable discounts!
34,Ham,Let me know your availability for a quick call.
35,Spam,This is not a scam! Send details to claim reward.
36,Ham,Please confirm your attendance for the event.
37,Spam,"Lowest price guaranteed, buy now before it’s gone."
38,Ham,I’ll be late to the meeting by 10 minutes.
39,Spam,Unlock premium features for free today only.
40,Ham,"Thanks for your email, I’ll get back to you soon."
41,Spam,Congratulations! You’ve been selected for a cash reward.
42,Ham,Can you share the meeting agenda before the call?
43,Spam,Hurry! Offer expires in the next 2 hours.
44,Ham,"I have completed the assignment, please review it."
45,Spam,Get instant approval for your credit card now!
46,Ham,Let’s plan a trip this weekend.
47,Spam,You’ve won a lottery! Send your details to claim.
48,Ham,Please find the updated presentation attached.
49,Spam,Lowest prices on electronics available today only.
50,Ham,Can you pick up groceries on your way home?
51,Spam,Earn $500 daily from your phone easily.
52,Ham,I’ve scheduled the meeting for Monday morning.
53,Spam,Exclusive bonus waiting for you. Click now!
54,Ham,Thanks for your quick response earlier.
55,Spam,Limited seats available! Register now.
56,Ham,Let me know if you need any help with the report.
57,Spam,You have been chosen for a special promotion.
58,Ham,Please send me the updated files by EOD.
59,Spam,Your account has been suspended. Act now!
60,Ham,It was nice talking to you yesterday.
61,Spam,Grab this deal before it’s gone forever.
62,Ham,Can we reschedule our appointment?
63,Spam,Free membership for a limited time only.
64,Ham,I’ll send you the details shortly.
65,Spam,This is your last chance to claim your reward.
66,Ham,The client meeting went well today.
67,Spam,Click here to earn rewards instantly.
68,Ham,Please check your email for the OTP.
69,Spam,Don’t miss this golden opportunity!
70,Ham,I’ve attached the requested document.
71,Spam,You’ve been selected for a mystery gift.
72,Ham,Let’s have a quick call to discuss this.
73,Spam,Act fast! Only a few items left in stock.
74,Ham,Thank you for attending the meeting.
75,Spam,Win big prizes with this simple step.
76,Ham,I’ll update you once I hear back from them.
77,Spam,Your loan is approved instantly. Apply today.
78,Ham,Please confirm once you receive this email.
79,Spam,Unlock your reward by clicking the link below.
80,Ham,Let me know your thoughts on this proposal.
81,Spam,Get 90% discount on all products today.
82,Ham,I’ve forwarded the email to the team.
83,Spam,Earn passive income without investment.
84,Ham,Please review and approve the request.
85,Spam,You are eligible for a free upgrade.
86,Ham,I’ll be on leave tomorrow.
87,Spam,Claim your exclusive coupon now!
88,Ham,Let’s finalize the plan by today evening.
89,Spam,This deal is valid for today only. Hurry!
90,Ham,Thanks for your support and cooperation.
91,Ham,"Hi John, just checking if we are still meeting tomorrow at 10 AM."
92,Spam,"Congratulations! You’ve won a $1,000 gift card. Click here to claim now!"
93,Ham,"Dear customer, your bank statement is now available in your account."
94,Spam,Limited time offer! Buy now and get 80% discount on all products.
95,Ham,"Hey, can you send me the report by this evening? Thanks!"
96,Spam,Urgent: Your account has been compromised. Verify immediately here.
97,Ham,Happy Birthday! Wishing you a wonderful year ahead 🎉
98,Spam,You have been selected for a free vacation. Act fast!
99,Ham,Please find attached the invoice for last month’s services.
100,Spam,Earn money from home with no effort. Sign up today!
